,player_id,hand,year_of_birth,ioc,height,wikidata_id,player_name
1406,201405,U,1983,CHN,176.0,Q6653631,Nan Nan Liu
1407,201406,R,1983,IND,173.0,Q3176237,Shikha Uberoi
1408,201407,R,1986,ISR,,Q2634373,Evgenia Linetskaya
1409,201408,R,1986,USA,163.0,Q456515,Jamea Jackson
1410,201409,R,1980,CZE,176.0,Q2081093,Michaela Pastikova
1411,201410,R,1983,AUS,170.0,Q3345990,Monique Adamczak
1412,201411,R,1983,JPN,163.0,Q242975,Aiko Nakamura
1413,201412,R,1986,BLR,165.0,Q234850,Anastasia Yakimova
1414,201413,R,1980,FRA,,,Capucine Rousseau
1415,201414,R,1989,NED,177.0,Q231960,Michaella Krajicek
1416,201415,R,1985,AUS,168.0,,Tiffany Welford
1417,201416,R,1984,UKR,168.0,Q231962,Alona Bondarenko
1418,201417,R,1986,POL,176.0,Q232823,Marta Domachowska
1419,201418,R,1980,CHN,,,Ting Li
1420,201419,R,1982,CHN,172.0,Q180446,Na Li
1421,201420,R,1986,IND,153.0,Q132147,Sania Mirza
1422,201421,R,1987,SRB,184.0,Q30758,Ana Ivanovic
1423,201422,R,1987,FRA,,,Mailyne Andrieux
1424,201423,R,1983,AUT,175.0,Q272046,Yvonne Meusburger
1425,201424,R,1987,ISR,170.0,Q223532,Shahar Peer
1426,201425,L,1987,CZE,177.0,Q228989,Lucie Safarova
1427,201426,R,1986,FRA,175.0,Q239646,Pauline Parmentier
1428,201427,R,1990,FRA,173.0,Q229002,Alize Cornet
1429,201428,R,1985,FRA,173.0,Q232570,Mathilde Johansson
1430,201429,R,1981,JPN,155.0,Q240837,Rika Fujiwara
1431,201430,R,1988,FRA,,,Yulia Fedossova
1432,201431,R,1987,FRA,165.0,Q228998,Aravane Rezai
1433,201432,R,1985,GBR,165.0,,Rebecca Llewellyn
1435,201434,R,1980,GER,,,Sabine Klaschka
1436,201435,R,1986,UKR,175.0,Q231974,Kateryna Bondarenko
1437,201436,R,1988,USA,163.0,,Mary Gambale
1438,201437,R,1987,CRO,180.0,Q902270,Ivana Lisjak
1439,201438,R,1985,RUS,171.0,Q2259509,Ekaterina Bychkova
1440,201439,R,1980,USA,,,Tiffany Dabek
1441,201440,U,1984,ESP,173.0,Q239722,Laura Pous Tio
1442,201441,L,1986,FIN,164.0,Q13540,Emma Laine
1443,201442,R,1989,TPE,170.0,Q234624,Yung Jan Chan
1444,201443,R,1989,USA,183.0,Q53553,Alexa Glatch
1445,201444,R,1986,TPE,169.0,Q232566,Su Wei Hsieh
1446,201445,R,1988,UKR,170.0,Q235532,Viktoria Kutuzova
1447,201446,L,1980,AUT,174.0,Q229110,Sybille Bammer
1448,201447,R,1989,USA,165.0,Q54528,Vania King
1449,201448,R,1984,KAZ,183.0,Q234831,Galina Voskoboeva
1450,201449,U,1983,AUS,,,Lauren Breadmore
1451,201450,R,1987,BUL,180.0,Q229460,Tsvetana Pironkova
1452,201451,R,1984,GER,175.0,Q77300,Kathrin Woerle
1453,201452,R,1981,ESP,163.0,Q232544,Lourdes Dominguez Lino
1455,201454,R,1984,UZB,190.0,Q236858,Akgul Amanmuradova
1456,201455,R,1986,RUS,176.0,Q634844,Elena Vesnina
1457,201456,R,1987,UKR,175.0,Q237503,Olga Savchuk
