,player_id,hand,year_of_birth,ioc,height,wikidata_id,player_name
3691,103692,L,1981,CZE,,,Jakub Hasek
3692,103693,R,1981,FRA,188.0,Q546733,Thierry Ascione
3693,103694,R,1981,BEL,168.0,Q312511,Olivier Rochus
3694,103695,R,1981,ESP,,Q107694301,Marc Marco Ripoll
3695,103696,R,1981,SUI,190.0,,Sven Swinnen
3696,103697,R,1981,BRA,185.0,Q10334345,Marcio Torres
3697,103698,R,1981,ESP,,,Andreu Guilera Jover
3698,103699,R,1981,NED,183.0,Q719304,Fred Hemmes
3699,103700,L,1981,ARG,178.0,Q3106519,Juan Pablo Guzman
3700,103701,R,1981,ARG,185.0,Q1220458,Diego Hartfield
3701,103702,R,1981,ITA,,Q3972538,Stefano Ianni
3702,103703,R,1981,USA,,,Nathan Price
3703,103704,R,1981,SRB,196.0,Q30004733,Vladimir Obradovic
3704,103705,R,1981,BLR,,,Sergei Samoseiko
3705,103706,U,1981,SWE,,,Daniel Norberg
3706,103707,U,1981,GER,,,Dmitriy Koch
3707,103708,R,1981,CZE,175.0,Q3496224,Jaroslav Pospisil
3708,103709,R,1981,DEN,188.0,Q715430,Kristian Pless
3709,103710,R,1981,ARG,,,Federico Abadie
3710,103711,R,1981,CZE,196.0,Q720135,Jaroslav Levinsky
3711,103712,U,1981,ARG,,,Rodolfo Daruich
3712,103713,L,1981,AUT,,,Christoph Palmanshofer
3713,103714,L,1981,SWE,180.0,Q501064,Andreas Vinciguerra
3714,103715,R,1981,RUS,,Q6415230,Kirill Ivanov Smolensky
3715,103716,R,1981,ITA,188.0,Q4006499,Uros Vico
3716,103717,R,1981,POL,,,Jedrzej Zarski
3717,103718,L,1981,USA,185.0,Q715443,David Martin
3718,103719,R,1981,COL,,,Ruben Torres
3719,103720,R,1981,AUS,180.0,Q180104,Lleyton Hewitt
3720,103721,R,1981,VEN,,,Ezequiel Nastari
3721,103722,R,1981,FRA,180.0,Q315961,Florent Serra
3722,103723,R,1981,FRA,,,Julien Maes
3723,103724,R,1981,ESP,,,Jose Manuel Garcia Rodriguez
3724,103725,U,1981,MEX,,,Luis Ernesto Peon
3725,103726,R,1981,FRA,175.0,Q6169065,Jean Christophe Faurel
3726,103727,R,1981,MEX,,,Daniel Langre
3727,103728,R,1981,AUT,,,Christian Magg
3728,103729,U,1981,FRA,,,Nicolas Tholozan
3729,103730,R,1981,GBR,183.0,Q455297,Jonathan Marray
3730,103731,U,1981,GER,,,Benedikt Stronk
3731,103732,U,1981,USA,,,Phil Stolt
3732,103733,R,1981,AUT,,Q82455856,Luben Pampoulov
3733,103734,U,1981,FRA,,,Trystan Meniane
3734,103735,R,1981,CRO,190.0,Q508034,Lovro Zovko
3735,103736,U,1981,PER,,,Diego Acuna
3736,103737,R,1981,ARG,180.0,Q2879046,Edgardo Massa
3737,103738,U,1981,ESP,,,Francesc Lleal
3738,103739,R,1981,VEN,,Q1989008,Jose De Armas
3739,103740,U,1981,RSA,,,Roger Anderson
3740,103741,U,1981,AUS,,,Richard Magney
3741,103742,R,1981,ARG,,Q47004170,Diego Cristin
3742,103743,L,1981,AUS,,Q107476186,Domenic Marafiote
3743,103744,R,1981,CAN,,,Rahim Esmail
3744,103745,U,1981,GBR,,,Thomas Higgins
3745,103746,R,1981,MEX,,Q6844560,Miguel Gallardo Valles
3746,103747,R,1981,GER,198.0,Q84816,Dominik Meffert
3747,103748,R,1981,CZE,,Q12022841,Jan Minar
3748,103749,R,1981,HUN,,,Laszlo Fono
3749,103750,R,1981,CZE,,,Ladislav Chramosta
3750,103751,U,1981,SWE,,Q107352633,Jonas Froberg
3751,103752,R,1981,GER,185.0,Q60498,Simon Greul
3752,103753,R,1981,GER,,Q893621,Boris Bachert
3753,103754,L,1981,GBR,170.0,Q6768052,Mark Hilton
3754,103755,R,1981,FRA,,,Francois Vatin
3755,103756,R,1981,ITA,,,Stefano Mocci
3756,103757,U,1981,CZE,,,Theodor Devoty
3757,103758,R,1981,USA,188.0,Q53407,Taylor Dent
3758,103759,R,1981,CRO,,,Davor Grgic
3759,103760,R,1981,TUR,,,Haluk Akkoyun
3760,103761,R,1981,CZE,178.0,Q2740811,Tomas Cakl
3761,103762,R,1981,USA,185.0,Q1701360,John Paul Fruttero
3762,103763,R,1981,AUT,,Q6776609,Martin Slanar
3763,103764,R,1981,ESP,,,Ivan Caballero
3764,103765,U,1981,FRA,,,Mohamed Sekou Drame
3765,103766,R,1981,USA,,Q44479905,Steve Berke
3766,103767,U,1981,USA,,,Brandon Wagner
3767,103768,R,1981,BRA,,,Guilherme Ochiai
3768,103769,R,1981,AUT,,,Markus Polessnig
3769,103770,R,1981,IRL,183.0,,Kevin Sorensen
3770,103771,R,1981,RUS,,,Andrei Nossov
3771,103772,U,1981,ITA,,,Matteo Galli
3772,103773,R,1981,AUT,,,Markus Kanellos
3773,103774,R,1981,JPN,,,Hayato Furukawa
3774,103775,R,1981,CHI,175.0,Q5442026,Felipe Parada
3775,103776,R,1981,RUS,,,Alexei Filenkov
3776,103777,U,1981,GER,,,Patrick Knobloch
3777,103778,U,1981,CRO,,,Albert Loncaric
3778,103779,U,1981,AUT,,,Tobias Koeck
3779,103780,L,1981,USA,190.0,Q53347,Eric Butorac
3780,103781,L,1981,AUT,183.0,Q223549,Jurgen Melzer
3781,103782,R,1981,AUS,,Q2130074,Rameez Junaid
3782,103783,L,1981,SWE,,,Rickard Holmstrom
3783,103784,U,1981,FRA,,,Philippe Vadel
3784,103785,U,1981,ESP,,,Luis Feo Bernabe
3785,103786,R,1981,RUS,178.0,Q191736,Nikolay Davydenko
3786,103787,U,1981,GER,,,Walter Orth
3787,103788,U,1981,MEX,,,Juan Pablo Barriga
3788,103789,L,1981,GEO,188.0,Q2126952,Irakli Labadze
3789,103790,R,1981,IND,,,Manoj Mahadevan
3790,103791,U,1981,MEX,,,Rolando Vargas
3791,103792,U,1981,JPN,,Q61646356,Joji Miyao
3792,103793,R,1981,CZE,,,Martin Vacek
3793,103794,R,1981,GER,178.0,Q77176,Benjamin Becker
3794,103795,U,1981,GBR,,,James May
3795,103796,U,1981,ESP,,,Marcos Jimenez Letrado
3796,103797,U,1981,USA,,,Justin Diao Natale
3797,103798,U,1981,RSA,,,Mark Roberts
3798,103799,R,1981,FRA,178.0,Q288327,Eric Prodon
3799,103800,U,1981,GER,,,Christian Straka
3800,103801,L,1981,FRA,,,Marc Steger
3801,103802,U,1981,FRA,,,Antoine Hamard
3802,103803,U,1981,IRI,,Q43078709,Ashkan Shokoofi
3803,103804,U,1981,USA,,,Dave Lingman
3804,103805,R,1981,ROU,,,Catalin Gard
3805,103806,R,1981,ROU,,Q5202915,Catalin Ionut Gard
3806,103807,R,1981,LAT,,,Raimonds Sproga
3807,103808,R,1981,ITA,188.0,Q317964,Potito Starace
3808,103809,U,1981,BRA,,,Diogo Cruz
3809,103810,R,1981,GER,,,Philipp Hammer
3810,103811,R,1981,SWE,,Q500710,Andreas Siljestrom
3811,103812,R,1981,ROU,198.0,Q316378,Victor Hanescu
3812,103813,L,1981,FIN,185.0,Q10270,Jarkko Nieminen
3813,103814,R,1981,AUS,,Q23007724,Sadik Kadir
3814,103815,R,1981,MEX,,,Eduardo Magadan Castro
3815,103816,R,1981,MEX,,,Eduardo Magadan
3816,103817,L,1981,CHN,,,Yu Jr Wang
3817,103818,U,1981,SWE,,,Pierre Berntson
3818,103819,R,1981,SUI,185.0,Q1426,Roger Federer
3819,103820,R,1981,GBR,183.0,Q4707216,Alan Mackin
3820,103821,R,1981,THA,173.0,Q175210,Danai Udomchoke
3821,103822,R,1981,USA,185.0,Q470055,Scott Lipsky
3822,103823,L,1981,GER,183.0,Q60738,Denis Gremelmayr
3823,103824,R,1981,UKR,,Q7101635,Orest Tereshchuk
3824,103825,U,1981,HUN,,,Zsolt Tatar
3825,103826,R,1981,MEX,,Q55314977,Carlos Palencia
3826,103827,R,1981,ITA,,Q30486731,Fabio Colangelo
3827,103828,R,1981,NED,185.0,Q552349,Jean Julien Rojer
3828,103829,U,1981,GUA,,,Cristian Paiz
3829,103830,R,1981,CHN,185.0,Q2639575,Shao Xuan Zeng
3830,103831,U,1981,JPN,,,Yasuo Miyazaki
3831,103832,U,1981,ARG,,,Matias Ormaza
3832,103833,U,1981,USA,,,Michael Rubin
3833,103834,R,1981,USA,,Q6534932,Levar Harper Griffith
3834,103835,R,1981,ITA,183.0,Q344765,Filippo Volandri
3835,103836,U,1981,USA,,,Ryan Newport
3836,103837,R,1981,ESP,178.0,Q5274061,Didac Perez
3837,103838,U,1981,JPN,,,Masato Hatanaka
3838,103839,R,1981,HUN,,,Marton Ott
3839,103840,R,1981,ARG,,,Juan Pablo Di Cesare
3840,103841,R,1981,CHI,188.0,Q6309468,Julio Peralta
3841,103842,R,1981,RUS,,,Rouslan Nourmatov
3842,103843,R,1981,SUI,185.0,Q523802,Marco Chiudinelli
3843,103844,U,1981,SRB,,,Igor Fejzula
3844,103845,U,1981,USA,,Q104839539,Lesley Joseph
3845,103846,R,1981,ARG,,,Mariano Campos
3846,103847,L,1981,USA,,,Adrian Bohane
3847,103848,R,1981,ARG,,Q5660896,Agustin Tarantino
3848,103849,R,1981,ITA,175.0,Q3749518,Francesco Aldi
3849,103850,L,1981,ARG,178.0,Q5402547,Sebastian Decoud
3850,103851,R,1981,IRL,185.0,Q1126547,Conor Niland
3851,103852,L,1981,ESP,188.0,Q223695,Feliciano Lopez
3852,103853,L,1981,ITA,,,Mattia Livraghi
3853,103854,U,1981,ESP,,,Raul Morant
3854,103855,U,1981,FRA,,,Jeremy Blandin
3855,103856,U,1981,ARG,,,Juan Ferrer
3856,103857,R,1981,RUS,180.0,Q365191,Igor Kunitsyn
3857,103858,L,1981,FRA,,,Frederic Jeanclaude
3858,103859,L,1981,USA,185.0,Q717433,James Cerretani
3859,103860,R,1981,FIN,185.0,Q13557,Timo Nieminen
3860,103861,R,1981,MEX,,,Jose Antonio Macouzet
3861,103862,R,1981,RUS,183.0,Q520836,Michail Elgin
3862,103863,R,1981,RUS,183.0,Q520836,Mikhail Elgin
3863,103864,R,1981,EGY,,,Mohamed Mamoun
3864,103865,R,1981,INA,,Q12506450,Prima Simpatiaji
3865,103866,R,1981,BRA,188.0,,Luiz Carvalho
3866,103867,R,1981,JPN,,,Ryota Hisamatsu
3867,103868,R,1981,ESP,183.0,Q507913,Ivan Navarro
3868,103869,U,1981,GER,,,Thomas Schoeck
3869,103870,U,1981,SVK,,,Tomas Kubis
3870,103871,R,1981,KOR,,,Sung Kyun Kang
3871,103872,U,1981,MKD,,,Dimitar Grabuloski
3872,103873,U,1981,ESP,,Q107602151,Antonio Baldellou Esteva
3873,103874,U,1981,NED,,,Maarten Paas
3874,103875,U,1981,IRI,,Q29016854,Anoosha Shahgholi
3875,103876,R,1981,POL,,Q1890904,Tomasz Bednarek
3876,103877,R,1981,LUX,188.0,Q24820686,Mike Scheidweiler
3877,103878,U,1981,USA,,,Zach Dailey
3878,103879,R,1981,MEX,,,Hector Almada
3879,103880,U,1981,ISL,,Q63379052,Arnar Sigurdsson
3880,103881,R,1981,ISR,,,Meir Deri
3881,103882,R,1981,LAT,,,Adrians Zguns
3882,103883,U,1981,BRA,,Q10320196,Lucas Engel
3883,103884,R,1981,ITA,,,Riccardo Capannelli
3884,103885,U,1981,GER,,,Daniel Lesske
3885,103886,R,1981,ESP,,,Luis Antonio Perez Perez
3886,103887,R,1981,ESP,,,David Tosas Ros
3887,103888,R,1981,USA,188.0,Q53422,Mardy Fish
3888,103889,U,1981,GER,,,Christian Groh
3889,103890,U,1981,USA,193.0,,Bo Hodge
3890,103891,R,1981,GRE,,Q4721045,Alexandros Jakupovic
3891,103892,L,1981,SRB,,,Aleksandar Jerinkic
3892,103893,R,1981,ITA,183.0,Q708313,Paolo Lorenzi
3893,103894,R,1981,USA,175.0,Q7185722,Phillip King
3894,103895,R,1981,GBR,,,David Corrie
3895,103896,R,1981,USA,,,Jeremy Wurtzman
3896,103897,U,1981,CZE,,,Jiri Vencl
3897,103898,R,1981,FRA,185.0,Q313402,Julien Benneteau
3898,103899,R,1981,NOR,188.0,Q64026931,Stian Boretti
3899,103900,R,1982,ARG,180.0,Q181501,David Nalbandian
3900,103901,R,1982,ITA,,,Alessandro Piccari
3901,103902,R,1982,CZE,190.0,Q3806913,Jan Mertl
3902,103903,R,1982,SRB,,,Nikola Vidovic
3903,103904,U,1982,ESP,,,Alberto Soriano
3904,103905,U,1982,CUB,,Q102346559,Ricardo Chile Fonte
3905,103906,U,1982,CUB,,Q102346559,Ricardo Chile
3906,103907,R,1982,RSA,,,Kabelo Maleka
3907,103908,R,1982,FRA,185.0,Q310349,Paul Henri Mathieu
3908,103909,R,1982,ARG,175.0,Q295478,Guillermo Coria
3909,103910,R,1982,USA,180.0,Q55081574,Tres Davis
3910,103911,R,1982,FRA,,,Julien Cassaigne
3911,103912,R,1982,CRO,188.0,Q3849013,Mario Radic
3912,103913,U,1982,GBR,,Q731353,Ian Flanagan
3913,103914,R,1982,UAE,,Q27927833,Omar Awadhy
3914,103915,U,1982,UAE,,,Xxxxxxx Bahrouzian
3915,103916,R,1982,ARG,180.0,Q5186277,Cristian Villagran
3916,103917,R,1982,FRA,191.0,Q317974,Nicolas Mahut
3917,103918,R,1982,BEL,,,Dominique Coene
3918,103919,U,1982,IND,,,Kamala Kannan
3919,103920,R,1982,THA,175.0,Q640860,Sanchai Ratiwatana
3920,103921,R,1982,THA,175.0,Q732306,Sonchat Ratiwatana
3921,103922,R,1982,ESP,,,Marcos Conde Jackson
3922,103923,R,1982,POL,,Q99469799,Radoslaw Nijaki
3923,103924,R,1982,ESP,,Q6755556,Marc Fornell Mestres
3924,103925,R,1982,ROU,180.0,Q5515759,Gabriel Moraru
3925,103926,L,1982,ESP,178.0,Q974176,Daniel Munoz de la Nava
3926,103927,U,1982,ESP,,,Jose Carlos Garcia Sanchez
3927,103928,U,1982,USA,,,Chad Harris
