,winner_name,w_ace,w_1stIn,w_df,w_1stWon,w_bpFaced,winner_rank,winner_id,year
224,Sandra Kloesel,,,,,,90.0,1,2005
225,Anca Barna,,,,,,90.0,2,2005
226,Anne Kremer,2.0,37.0,2.0,29.0,8.0,91.0,6,2005
227,Rika Fujiwara,,,,,,91.0,4,2005
228,Nicole Pratt,,,,,,91.0,2,2005
229,Stephanie Cohen Aloro,,,,,,92.0,6,2005
230,Severine Beltrame,,,,,,92.0,4,2005
231,Lubomira Kurhajcova,,,,,,92.0,1,2005
232,Sybille Bammer,,,,,,93.0,4,2005
233,Emma Laine,,,,,,93.0,1,2005
234,Camille Pin,,,,,,95.0,1,2005
235,Michaela Pastikova,0.0,34.0,5.0,18.0,10.0,96.0,3,2005
236,Aniko Kapros,,,,,,96.0,1,2005
237,Barbara Schett,5.0,43.0,6.0,31.0,10.0,97.0,1,2005
238,Tian Tian Sun,,,,,,99.0,1,2005
239,Amelie Mauresmo,2.7954545454545454,41.81818181818182,3.0681818181818183,28.75,6.863636363636363,1.0,51,2006
240,Lindsay Davenport,4.461538461538462,37.53846153846154,2.6923076923076925,26.0,4.461538461538462,1.0,21,2006
241,Kim Clijsters,2.090909090909091,37.90909090909091,2.8181818181818183,26.136363636363637,6.136363636363637,1.0,44,2006
242,Justine Henin,2.3125,34.395833333333336,4.041666666666667,24.0625,4.979166666666667,2.0,61,2006
243,Maria Sharapova,4.392857142857143,40.785714285714285,3.482142857142857,29.017857142857142,5.035714285714286,2.0,59,2006
244,Nadia Petrova,4.945945945945946,38.16216216216216,2.081081081081081,27.62162162162162,4.756756756756757,4.0,48,2006
245,Svetlana Kuznetsova,4.104166666666667,42.625,2.2083333333333335,29.1875,6.083333333333333,4.0,61,2006
246,Elena Dementieva,0.8235294117647058,44.8235294117647,9.529411764705882,28.647058823529413,9.323529411764707,5.0,48,2006
247,Mary Pierce,3.3333333333333335,42.55555555555556,1.4444444444444444,31.0,4.777777777777778,5.0,9,2006
248,Patty Schnyder,3.8529411764705883,42.44117647058823,2.235294117647059,29.147058823529413,6.617647058823529,7.0,47,2006
249,Martina Hingis,1.34375,39.5,2.40625,26.09375,5.96875,7.0,42,2006
250,Nicole Vaidisova,6.038461538461538,43.03846153846154,3.0,31.153846153846153,5.115384615384615,9.0,39,2006
251,Dinara Safina,2.838709677419355,43.516129032258064,4.32258064516129,29.451612903225808,6.129032258064516,10.0,44,2006
252,Francesca Schiavone,3.2962962962962963,35.407407407407405,3.888888888888889,25.444444444444443,6.222222222222222,11.0,39,2006
253,Anastasia Myskina,1.9,44.35,3.9,28.45,8.6,11.0,31,2006
254,Jelena Jankovic,3.076923076923077,52.57692307692308,4.269230769230769,34.65384615384615,7.1923076923076925,12.0,45,2006
255,Venus Williams,3.4545454545454546,42.81818181818182,4.0,29.90909090909091,6.545454545454546,12.0,13,2006
256,Anna Chakvetadze,3.5454545454545454,41.72727272727273,2.909090909090909,28.59090909090909,6.454545454545454,13.0,38,2006
257,Anna Lena Groenefeld,4.142857142857143,42.42857142857143,4.523809523809524,29.428571428571427,6.9523809523809526,14.0,31,2006
258,Daniela Hantuchova,4.0,48.84,2.72,33.76,6.92,14.0,40,2006
259,Ana Ivanovic,4.208333333333333,35.041666666666664,2.8333333333333335,25.166666666666668,5.166666666666667,14.0,39,2006
260,Serena Williams,6.25,36.75,3.5,28.75,5.0,15.0,5,2006
261,Elena Likhovtseva,3.1666666666666665,43.583333333333336,2.3333333333333335,28.5,6.0,16.0,16,2006
262,Flavia Pennetta,3.2941176470588234,41.1764705882353,3.3529411764705883,27.470588235294116,7.235294117647059,17.0,32,2006
263,Marion Bartoli,1.6,41.95,2.263157894736842,29.15,5.3,19.0,45,2006
264,Ai Sugiyama,1.3333333333333333,56.55555555555556,3.4444444444444446,35.55555555555556,8.722222222222221,19.0,30,2006
265,Nathalie Dechy,1.0909090909090908,53.0,2.909090909090909,34.27272727272727,6.181818181818182,20.0,17,2006
266,Na Li,2.1818181818181817,46.68181818181818,1.6818181818181819,29.90909090909091,6.409090909090909,20.0,40,2006
267,Tatiana Golovin,2.6666666666666665,48.93333333333333,2.466666666666667,33.13333333333333,6.6,21.0,26,2006
268,Shahar Peer,1.5625,43.125,3.875,28.375,6.625,21.0,43,2006
269,Katarina Srebotnik,2.6666666666666665,39.458333333333336,1.625,28.333333333333332,5.0,22.0,30,2006
270,Maria Kirilenko,2.388888888888889,34.94444444444444,3.7777777777777777,24.333333333333332,5.333333333333333,22.0,23,2006
271,Anabel Medina Garrigues,1.2727272727272727,45.36363636363637,1.4545454545454546,26.454545454545453,8.727272727272727,23.0,37,2006
272,Vera Zvonareva,3.1818181818181817,40.22727272727273,3.227272727272727,28.5,5.7272727272727275,25.0,37,2006
