,winner_name,w_ace,w_1stIn,w_df,w_1stWon,w_bpFaced,winner_rank,matches_won,year,l_ace,l_1stIn,l_df,l_1stWon,l_bpFaced,loser_rank,matches_lost,W/L%
95,Mara Santangelo,,,,,,79.0,4,2004,0.5,32.5,5.0,16.5,8.5,78.0,11.0,0.26666666666666666
96,Marta Domachowska,,,,,,79.0,5,2004,,,,,,79.0,2.0,0.7142857142857143
97,Nuria Llagostera Vives,,,,,,79.0,1,2004,2.0,33.0,6.0,22.0,11.0,79.0,2.0,0.3333333333333333
98,Virginie Razzano,,,,,,80.0,4,2004,,,,,,57.0,2.0,0.6666666666666666
99,Samantha Reeves,,,,,,82.0,2,2004,1.6666666666666667,33.333333333333336,7.0,16.666666666666668,9.666666666666666,74.0,10.0,0.16666666666666666
100,Marie Gaiane Mikaelian,,,,,,84.0,4,2004,2.5,39.0,5.5,21.5,11.5,74.0,10.0,0.2857142857142857
101,Tatiana Panova,,,,,,84.0,2,2004,1.0,29.0,6.0,14.0,6.0,74.0,5.0,0.2857142857142857
102,Marissa Irvin,,,,,,84.0,2,2004,,,,,,69.0,9.0,0.18181818181818182
103,Henrieta Nagyova,,,,,,85.0,5,2004,0.6666666666666666,48.0,1.3333333333333333,20.666666666666668,9.666666666666666,82.0,10.0,0.3333333333333333
104,Sandra Kleinova,,,,,,85.0,1,2004,0.0,46.0,7.0,28.0,12.5,84.0,7.0,0.125
105,Zuzana Ondraskova,,,,,,86.0,1,2004,1.0,47.0,4.0,23.0,14.0,83.0,5.0,0.16666666666666666
106,Lindsay Lee Waters,3.0,48.0,3.0,31.0,9.0,86.0,4,2004,0.0,35.0,6.0,23.0,6.0,77.0,12.0,0.25
107,Yuliana Fedak,,,,,,87.0,1,2004,,,,,,87.0,2.0,0.3333333333333333
108,Maria Kirilenko,2.0,49.0,6.0,31.0,16.0,88.0,2,2004,1.0,55.0,6.0,32.0,14.0,85.0,4.0,0.3333333333333333
109,Shuai Peng,,,,,,92.0,2,2004,,,,,,92.0,1.0,0.6666666666666666
110,Stephanie Cohen Aloro,,,,,,93.0,6,2004,2.5,51.5,8.0,25.5,11.0,63.0,13.0,0.3157894736842105
111,Gala Leon Garcia,,,,,,93.0,3,2004,2.0,63.0,4.0,33.0,13.0,92.0,6.0,0.3333333333333333
112,Silvija Talaja,,,,,,94.0,1,2004,2.0,28.0,1.0,17.0,7.0,93.0,3.0,0.25
113,Severine Beltrame,10.0,79.0,3.0,54.0,9.0,94.0,2,2004,0.5,34.0,2.0,18.0,10.0,89.0,6.0,0.25
114,Antonella Serra Zanetti,,,,,,98.0,2,2004,,,,,,90.0,2.0,0.5
115,Lindsay Davenport,5.5,41.04545454545455,4.5,30.454545454545453,6.0,1.0,60,2005,6.0,53.0,6.833333333333333,36.166666666666664,8.166666666666666,1.0,11.0,0.8450704225352113
116,Maria Sharapova,4.125,41.791666666666664,2.75,29.166666666666668,5.125,1.0,53,2005,1.8571428571428572,55.285714285714285,3.7142857142857144,33.285714285714285,9.571428571428571,1.0,13.0,0.803030303030303
117,Kim Clijsters,2.75,37.375,3.75,26.8125,4.75,2.0,61,2005,2.8,58.8,6.2,37.2,9.2,2.0,9.0,0.8714285714285714
118,Amelie Mauresmo,3.0,35.526315789473685,3.6315789473684212,26.68421052631579,4.421052631578948,2.0,56,2005,3.3333333333333335,46.666666666666664,6.0,29.333333333333332,10.166666666666666,2.0,17.0,0.7671232876712328
119,Serena Williams,6.166666666666667,40.0,2.4166666666666665,29.833333333333332,5.083333333333333,2.0,21,2005,4.5,43.5,4.0,26.5,10.5,2.0,9.0,0.7
120,Anastasia Myskina,2.3333333333333335,41.888888888888886,3.3333333333333335,26.77777777777778,8.444444444444445,3.0,37,2005,1.6666666666666667,40.166666666666664,2.5,21.833333333333332,12.166666666666666,3.0,20.0,0.6491228070175439
121,Svetlana Kuznetsova,5.533333333333333,36.86666666666667,2.7333333333333334,26.8,5.4,4.0,29,2005,2.3333333333333335,45.166666666666664,4.833333333333333,26.333333333333332,10.5,4.0,17.0,0.6304347826086957
122,Justine Henin,2.2142857142857144,37.0,5.928571428571429,25.785714285714285,7.214285714285714,5.0,34,2005,2.0,45.5,10.5,30.0,9.5,5.0,5.0,0.8717948717948718
123,Mary Pierce,3.391304347826087,47.04347826086956,1.2173913043478262,33.17391304347826,5.217391304347826,5.0,43,2005,1.6,42.2,2.6,24.8,9.2,5.0,13.0,0.7678571428571429
124,Elena Dementieva,0.7857142857142857,45.0,9.5,29.642857142857142,9.428571428571429,5.0,46,2005,0.625,52.875,6.75,28.0,12.25,5.0,23.0,0.6666666666666666
125,Venus Williams,3.0,44.0,4.0625,31.1875,6.0625,7.0,37,2005,2.0,47.0,5.5,29.5,8.0,7.0,11.0,0.7708333333333334
126,Patty Schnyder,4.25,47.666666666666664,1.9166666666666667,32.583333333333336,7.416666666666667,8.0,58,2005,2.75,47.5,3.0,27.5,10.625,8.0,25.0,0.6987951807228916
127,Alicia Molik,7.5,35.25,1.75,28.0,3.75,8.0,17,2005,7.0,45.75,3.75,30.25,6.75,8.0,14.0,0.5483870967741935
128,Nadia Petrova,3.75,41.0,3.125,29.0,6.25,8.0,56,2005,4.166666666666667,49.333333333333336,4.166666666666667,31.0,10.5,8.0,25.0,0.691358024691358
129,Vera Zvonareva,2.7,34.6,2.4,25.3,5.0,10.0,21,2005,1.4,43.8,6.0,27.0,10.2,10.0,21.0,0.5
130,Nathalie Dechy,1.5833333333333333,51.833333333333336,3.1666666666666665,33.083333333333336,8.0,13.0,41,2005,1.1666666666666667,50.5,3.1666666666666665,29.0,9.0,13.0,27.0,0.6029411764705882
131,Elena Bovina,3.25,48.0,2.25,32.5,6.75,14.0,13,2005,2.0,63.0,2.0,36.0,10.5,14.0,8.0,0.6190476190476191
132,Francesca Schiavone,4.333333333333333,35.22222222222222,3.0,25.333333333333332,4.444444444444445,15.0,41,2005,3.2,34.4,3.8,23.6,6.6,15.0,23.0,0.640625
133,Fabiola Zuluaga,2.0,26.0,1.6666666666666667,21.333333333333332,2.0,16.0,12,2005,2.0,42.333333333333336,3.3333333333333335,21.666666666666668,10.666666666666666,16.0,13.0,0.48
134,Ana Ivanovic,1.875,35.625,2.25,25.125,5.875,16.0,32,2005,1.25,36.0,4.5,19.25,9.5,16.0,14.0,0.6956521739130435
135,Elena Likhovtseva,2.4615384615384617,54.07692307692308,3.1538461538461537,33.0,10.076923076923077,16.0,30,2005,2.0,44.0,5.4,27.0,11.6,15.0,22.0,0.5769230769230769
136,Jelena Jankovic,2.8,34.0,2.0,26.2,4.0,17.0,38,2005,2.75,59.0,5.0,31.0,15.5,17.0,29.0,0.5671641791044776
137,Nicole Vaidisova,8.0,41.09090909090909,2.8181818181818183,28.272727272727273,3.909090909090909,18.0,48,2005,5.166666666666667,49.0,4.0,30.333333333333332,7.666666666666667,19.0,15.0,0.7619047619047619
138,Karolina Sprem,1.0,31.333333333333332,4.666666666666667,19.0,8.0,18.0,16,2005,1.0,22.25,5.0,10.0,7.5,17.0,24.0,0.4
139,Silvia Farina Elia,0.42857142857142855,38.57142857142857,2.0,24.714285714285715,4.714285714285714,19.0,25,2005,0.6,55.4,4.0,29.0,11.2,18.0,23.0,0.5208333333333334
140,Tatiana Golovin,2.0,39.714285714285715,5.0,27.285714285714285,5.857142857142857,19.0,33,2005,1.6,43.6,6.2,27.4,10.8,19.0,22.0,0.6
141,Daniela Hantuchova,4.444444444444445,35.111111111111114,2.3333333333333335,25.88888888888889,4.777777777777778,19.0,38,2005,3.3333333333333335,53.833333333333336,4.5,32.666666666666664,10.333333333333334,19.0,25.0,0.6031746031746031
