,loser_name,l_ace,l_1stIn,l_df,l_1stWon,l_bpFaced,loser_rank,loser_id,year
214,Kim Clijsters,1.5,40.0,5.0,23.0,8.5,2.0,3,2006
215,Justine Henin,3.0,38.5,4.0,26.0,5.5,3.0,2,2006
216,Nadia Petrova,0.0,31.0,2.0,18.0,6.0,3.0,2,2006
217,Maria Sharapova,5.0,72.0,7.0,42.0,10.0,4.0,1,2006
218,Elena Dementieva,0.0,35.5,4.0,16.5,11.5,8.0,5,2006
219,Patty Schnyder,3.6,59.2,2.2,33.0,12.2,8.0,7,2006
220,Svetlana Kuznetsova,2.8,44.8,2.6,27.6,8.4,10.0,6,2006
221,Anastasia Myskina,0.5,28.5,2.5,11.5,8.0,11.0,4,2006
222,Francesca Schiavone,0.3333333333333333,41.666666666666664,5.0,24.333333333333332,11.666666666666666,11.0,5,2006
223,Venus Williams,1.5,57.0,3.0,35.5,10.5,12.0,3,2006
224,Nicole Vaidisova,5.0,51.0,5.25,32.0,12.5,14.0,4,2006
225,Anna Lena Groenefeld,2.8,35.8,7.0,21.8,10.8,14.0,7,2006
226,Martina Hingis,1.0,63.5,1.5,34.0,13.0,15.0,3,2006
227,Daniela Hantuchova,1.3333333333333333,47.0,3.0,27.0,8.0,16.0,4,2006
228,Elena Likhovtseva,0.25,43.5,3.0,23.5,13.25,17.0,5,2006
229,Dinara Safina,2.4,51.4,3.6,28.6,9.4,17.0,5,2006
230,Ana Ivanovic,3.5,27.0,2.0,18.0,6.5,17.0,4,2006
231,Flavia Pennetta,0.6,43.8,3.4,21.8,12.8,18.0,9,2006
232,Nathalie Dechy,1.6,56.2,2.6,32.6,11.0,21.0,9,2006
233,Ai Sugiyama,1.6666666666666667,58.0,2.6666666666666665,34.333333333333336,10.333333333333334,22.0,3,2006
234,Maria Kirilenko,1.3333333333333333,39.666666666666664,7.333333333333333,22.0,9.666666666666666,22.0,5,2006
235,Anabel Medina Garrigues,0.8333333333333334,44.5,0.3333333333333333,22.166666666666668,9.5,24.0,8,2006
236,Tatiana Golovin,2.0,57.0,3.0,27.0,13.0,25.0,2,2006
237,Shahar Peer,1.0,35.5,3.5,16.5,9.5,26.0,3,2006
238,Anna Chakvetadze,1.6666666666666667,35.333333333333336,3.6666666666666665,21.333333333333332,10.666666666666666,27.0,5,2006
239,Lucie Safarova,1.5,35.0,3.0,19.25,7.0,27.0,8,2006
240,Jelena Jankovic,2.0,60.4,5.6,33.0,12.6,27.0,7,2006
241,Marion Bartoli,0.6666666666666666,38.333333333333336,2.0,20.333333333333332,8.666666666666666,27.0,6,2006
242,Katarina Srebotnik,1.4,41.4,2.0,24.0,8.4,28.0,6,2006
243,Klara Koukalova,,,,,,28.0,7,2006
244,Gisela Dulko,0.8,34.8,4.0,19.8,10.6,29.0,8,2006
245,Sofia Arvidsson,1.5,39.25,1.75,24.5,7.75,29.0,7,2006
246,Kveta Peschke,1.0,45.6,3.2,24.0,12.2,35.0,5,2006
247,Catalina Castano,0.8,41.2,2.6,19.2,9.6,35.0,9,2006
248,Jie Zheng,0.0,84.0,1.0,44.0,10.0,36.0,4,2006
249,Michaella Krajicek,4.333333333333333,45.0,5.0,30.333333333333332,8.666666666666666,36.0,7,2006
250,Marta Domachowska,2.25,36.25,3.5,21.25,9.25,37.0,6,2006
251,Mara Santangelo,1.0,48.2,3.6,30.8,7.8,37.0,6,2006
252,Roberta Vinci,1.75,43.5,3.0,24.0,12.0,38.0,6,2006
253,Na Li,0.0,47.333333333333336,3.3333333333333335,23.333333333333332,11.0,38.0,4,2006
254,Sania Mirza,1.5,37.0,4.5,21.5,9.5,38.0,3,2006
255,Iveta Benesova,,,,,,38.0,7,2006
256,Jill Craybas,0.5,58.75,4.5,29.75,15.5,39.0,7,2006
257,Vera Zvonareva,2.0,35.8,2.8,21.0,7.2,40.0,5,2006
258,Anna Smashnova,0.0,36.0,3.5,15.0,8.0,41.0,10,2006
259,Vera Dushevina,0.8,41.4,3.8,22.2,9.6,41.0,6,2006
260,Samantha Stosur,2.25,41.0,2.25,25.5,10.0,43.0,5,2006
261,Virginie Razzano,1.0,59.8,4.8,31.6,12.2,43.0,6,2006
262,Lourdes Dominguez Lino,,,,,,44.0,10,2006
263,Emilie Loit,0.0,34.5,2.0,16.0,9.5,47.0,6,2006
264,Laura Granville,3.0,43.0,3.0,24.333333333333332,9.666666666666666,48.0,3,2006
265,Sybille Bammer,0.0,35.25,1.75,18.5,8.0,48.0,7,2006
266,Karolina Sprem,4.333333333333333,41.0,8.333333333333334,24.666666666666668,11.666666666666666,49.0,6,2006
267,Shuai Peng,0.3333333333333333,49.333333333333336,1.3333333333333333,28.333333333333332,12.666666666666666,51.0,6,2006
268,Jelena Kostanic Tosic,0.0,57.0,1.0,27.0,9.0,52.0,2,2006
269,Julia Schruff,0.0,31.5,1.75,14.25,9.25,52.0,8,2006
270,Maria Elena Camerin,0.5,33.5,4.0,17.0,8.75,53.0,7,2006
