,winner_name,w_ace,w_1stIn,w_df,w_1stWon,w_bpFaced,winner_rank,winner_id,year
153,Kveta Peschke,,,,,,31.0,12,2005
154,Katarina Srebotnik,3.0,27.0,2.0,19.0,2.0,31.0,22,2005
155,Shuai Peng,3.0,35.0,0.0,26.0,6.0,31.0,13,2005
156,Anna Smashnova,0.5,32.5,2.0,22.0,5.0,32.0,6,2005
157,Klara Koukalova,,,,,,33.0,16,2005
158,Vera Dushevina,3.3333333333333335,48.333333333333336,3.3333333333333335,31.0,7.0,34.0,12,2005
159,Jelena Kostanic Tosic,2.0,54.0,5.0,35.0,7.0,35.0,4,2005
160,Sesil Karatantcheva,2.5,51.0,7.5,34.0,12.5,36.0,9,2005
161,Iveta Benesova,,,,,,36.0,13,2005
162,Evgenia Linetskaya,2.0,28.666666666666668,2.3333333333333335,21.0,5.166666666666667,37.0,13,2005
163,Virginie Razzano,0.0,56.0,6.0,37.0,10.0,38.0,4,2005
164,Meghann Shaughnessy,11.5,32.5,2.5,28.0,2.0,41.0,9,2005
165,Na Li,1.0,66.0,4.0,37.0,7.0,41.0,21,2005
166,Maria Elena Camerin,,,,,,41.0,5,2005
167,Eleni Daniilidou,,,,,,42.0,7,2005
168,Roberta Vinci,,,,,,45.0,6,2005
169,Dally Randriantefy,,,,,,45.0,7,2005
170,Jie Zheng,,,,,,46.0,22,2005
171,Samantha Stosur,,,,,,47.0,15,2005
172,Jill Craybas,1.0,59.0,5.0,34.0,11.0,48.0,10,2005
173,Shahar Peer,,,,,,48.0,9,2005
174,Marta Marrero,,,,,,48.0,1,2005
175,Maria Vento Kabchi,1.0,64.0,6.0,40.0,14.0,49.0,6,2005
176,Akiko Morigami,5.0,61.5,3.5,42.5,5.5,50.0,14,2005
177,Denisa Chladkova,1.0,42.0,3.0,30.0,5.0,51.0,3,2005
178,Marta Domachowska,7.0,39.0,8.0,33.0,6.0,52.0,9,2005
179,Mashona Washington,,,,,,52.0,5,2005
180,Alina Jidkova,,,,,,54.0,5,2005
181,Nuria Llagostera Vives,,,,,,54.0,9,2005
182,Lucie Safarova,,,,,,55.0,5,2005
183,Mariana Diaz Oliva,,,,,,56.0,7,2005
184,Martina Sucha,1.0,70.0,4.5,37.5,18.0,56.0,11,2005
185,Emilie Loit,,,,,,56.0,4,2005
186,Barbora Strycova,,,,,,57.0,1,2005
187,Laura Granville,2.0,74.0,1.0,44.0,15.0,60.0,7,2005
188,Catalina Castano,,,,,,60.0,7,2005
189,Claudine Schaul,,,,,,61.0,2,2005
190,Tathiana Garbin,3.0,52.0,5.0,35.0,10.0,63.0,6,2005
191,Tamarine Tanasugarn,1.0,27.0,1.0,19.0,2.0,65.0,5,2005
192,Antonella Serra Zanetti,,,,,,66.0,10,2005
193,Virginia Ruano Pascual,,,,,,66.0,4,2005
194,Kristina Brandi,1.0,41.0,4.0,31.0,4.0,67.0,4,2005
195,Michaella Krajicek,,,,,,68.0,8,2005
196,Shenay Perry,,,,,,69.0,2,2005
197,Abigail Spears,2.0,35.666666666666664,6.666666666666667,25.333333333333332,4.666666666666667,70.0,6,2005
198,Aiko Nakamura,,,,,,70.0,9,2005
199,Ekaterina Bychkova,5.0,33.0,2.0,24.0,3.0,71.0,7,2005
200,Marlene Weingartner,,,,,,73.0,3,2005
201,Yoon Jeong Cho,0.0,33.0,0.0,26.0,7.0,75.0,4,2005
202,Sofia Arvidsson,,,,,,75.0,7,2005
203,Jamea Jackson,,,,,,76.0,2,2005
204,Arantxa Parra Santonja,,,,,,76.0,2,2005
205,Tatiana Panova,0.0,60.0,2.0,36.0,13.0,77.0,4,2005
206,Zuzana Ondraskova,,,,,,79.0,2,2005
207,Laura Pous Tio,,,,,,80.0,1,2005
208,Tatiana Perebiynis,2.0,56.0,9.0,34.0,10.0,80.0,2,2005
209,Alona Bondarenko,,,,,,82.0,4,2005
210,Ludmila Cervanova,,,,,,82.0,1,2005
211,Yuliana Fedak,,,,,,83.0,4,2005
212,Julia Schruff,2.0,43.0,1.0,28.0,9.0,83.0,6,2005
213,Petra Mandula,0.0,44.0,9.0,28.0,10.0,84.0,1,2005
214,Marissa Irvin,,,,,,85.0,2,2005
215,Mara Santangelo,,,,,,86.0,2,2005
216,Lindsay Lee Waters,1.0,36.0,3.0,26.0,7.0,87.0,4,2005
217,Maria Sanchez Lorenzo,,,,,,88.0,3,2005
218,Sandra Kloesel,,,,,,90.0,1,2005
219,Anca Barna,,,,,,90.0,2,2005
220,Nicole Pratt,,,,,,91.0,2,2005
221,Rika Fujiwara,,,,,,91.0,4,2005
222,Stephanie Cohen Aloro,,,,,,92.0,3,2005
223,Severine Beltrame,,,,,,92.0,3,2005
224,Emma Laine,,,,,,93.0,1,2005
225,Sybille Bammer,,,,,,93.0,4,2005
226,Anne Kremer,,,,,,95.0,1,2005
227,Camille Pin,,,,,,95.0,1,2005
228,Aniko Kapros,,,,,,96.0,1,2005
229,Michaela Pastikova,0.0,34.0,5.0,18.0,10.0,96.0,2,2005
