,loser_name,l_ace,l_1stIn,l_df,l_1stWon,l_bpFaced,loser_rank,loser_id,year
160,Catalina Castano,2.5,53.0,2.5,31.0,10.5,67.0,2,2005
161,Laura Granville,1.0,38.0,1.0,20.0,8.0,68.0,2,2005
162,Kristina Brandi,0.0,58.5,1.5,28.5,14.0,70.0,2,2005
163,Mariana Diaz Oliva,,,,,,73.0,2,2005
164,Alina Jidkova,3.0,39.0,2.5,23.5,8.0,74.0,3,2005
165,Sania Mirza,2.5,53.0,5.0,32.0,15.0,75.0,2,2005
166,Eleni Daniilidou,1.0,60.0,4.0,31.5,12.0,76.0,2,2005
167,Emmanuelle Gagliardi,,,,,,77.0,1,2005
168,Zuzana Ondraskova,,,,,,78.0,1,2005
169,Antonella Serra Zanetti,0.0,51.5,5.5,27.5,11.5,81.0,2,2005
170,Martina Sucha,,,,,,81.0,1,2005
171,Maria Sanchez Lorenzo,7.0,32.0,3.0,21.0,6.0,82.0,1,2005
172,Arantxa Parra Santonja,1.0,37.0,1.0,24.0,7.0,82.0,2,2005
173,Yoon Jeong Cho,0.0,55.5,2.0,34.5,13.5,83.0,2,2005
174,Virginia Ruano Pascual,0.0,59.0,3.0,36.0,12.0,84.0,2,2005
175,Ludmila Cervanova,2.0,36.0,7.0,25.0,10.0,84.0,3,2005
176,Jill Craybas,0.0,53.0,3.0,24.0,12.0,85.0,1,2005
177,Alona Bondarenko,1.5,43.0,3.0,23.0,9.0,88.0,2,2005
178,Sanda Mamic,2.0,31.0,8.0,22.0,8.0,89.0,1,2005
179,Julia Schruff,1.0,43.0,7.0,27.0,9.0,91.0,1,2005
180,Tatiana Panova,2.0,46.0,4.5,23.5,11.5,92.0,2,2005
181,Marissa Irvin,,,,,,93.0,1,2005
182,Aiko Nakamura,0.0,40.0,6.0,23.0,8.0,94.0,1,2005
183,Anne Kremer,0.0,30.0,0.0,12.0,7.0,94.0,1,2005
184,Yuliana Fedak,0.5,35.5,4.0,20.0,9.5,95.0,2,2005
185,Tathiana Garbin,3.0,41.0,3.0,25.0,10.0,96.0,1,2005
186,Emilie Loit,,,,,,97.0,1,2005
187,Rika Fujiwara,0.0,24.0,4.0,11.0,9.0,98.0,1,2005
188,Michaella Krajicek,,,,,,99.0,1,2005
189,Amelie Mauresmo,6.0,42.0,3.0,31.0,6.0,1.0,1,2006
190,Kim Clijsters,0.0,52.5,2.5,30.0,9.5,2.0,2,2006
191,Justine Henin,3.0,30.0,3.0,23.0,4.0,3.0,1,2006
192,Maria Sharapova,5.0,57.5,4.0,34.5,12.0,4.0,2,2006
193,Svetlana Kuznetsova,4.0,56.5,4.5,34.0,10.0,6.0,2,2006
194,Elena Dementieva,0.0,28.0,6.0,16.0,6.0,8.0,2,2006
195,Patty Schnyder,1.0,75.0,5.0,40.0,15.0,10.0,1,2006
196,Anastasia Myskina,0.0,60.0,2.0,33.0,8.5,11.0,2,2006
197,Venus Williams,6.0,67.0,12.0,47.0,10.0,12.0,1,2006
198,Nicole Vaidisova,9.0,51.0,4.0,39.0,7.0,13.0,1,2006
199,Francesca Schiavone,4.333333333333333,35.666666666666664,5.666666666666667,27.666666666666668,7.666666666666667,14.0,3,2006
200,Martina Hingis,5.0,58.0,4.0,37.0,5.0,15.0,1,2006
201,Anna Lena Groenefeld,2.5,59.5,7.0,40.5,7.5,16.0,2,2006
202,Dinara Safina,1.0,65.0,9.0,41.0,15.0,17.0,2,2006
203,Daniela Hantuchova,0.5,36.5,3.5,18.0,9.5,18.0,2,2006
204,Flavia Pennetta,4.0,64.0,7.0,41.0,12.0,19.0,2,2006
205,Maria Kirilenko,4.0,41.0,3.0,19.0,7.0,20.0,2,2006
206,Ai Sugiyama,2.6666666666666665,59.666666666666664,1.6666666666666667,35.0,10.666666666666666,21.0,3,2006
207,Ana Ivanovic,4.0,25.0,2.0,17.0,5.0,22.0,2,2006
208,Shahar Peer,0.5,40.0,3.0,24.0,6.0,23.0,2,2006
209,Nathalie Dechy,0.0,48.0,2.5,29.0,9.0,23.0,2,2006
210,Katarina Srebotnik,5.0,55.0,4.5,36.5,9.5,24.0,2,2006
211,Elena Likhovtseva,1.0,43.666666666666664,4.333333333333333,21.333333333333332,11.0,26.0,3,2006
212,Anabel Medina Garrigues,0.0,33.0,2.0,15.0,8.0,26.0,2,2006
213,Marion Bartoli,3.5,61.5,3.5,38.0,13.0,27.0,3,2006
214,Jelena Jankovic,1.5,47.0,4.5,29.0,9.0,29.0,3,2006
215,Na Li,1.0,52.5,2.0,29.0,11.5,30.0,3,2006
216,Sofia Arvidsson,2.0,28.333333333333332,1.0,16.0,7.666666666666667,31.0,3,2006
217,Anna Chakvetadze,3.3333333333333335,54.333333333333336,2.3333333333333335,32.0,9.0,31.0,3,2006
218,Gisela Dulko,7.0,76.0,8.0,55.0,12.0,31.0,2,2006
219,Tatiana Golovin,7.0,66.0,5.0,42.0,14.0,33.0,1,2006
220,Mara Santangelo,8.0,46.5,2.5,31.0,6.5,35.0,3,2006
221,Catalina Castano,4.0,46.0,3.0,26.333333333333332,9.0,36.0,3,2006
222,Klara Koukalova,,,,,,36.0,3,2006
223,Jie Zheng,0.0,48.0,2.0,25.0,12.0,37.0,2,2006
224,Sania Mirza,1.0,53.0,5.0,32.0,15.0,38.0,3,2006
225,Michaella Krajicek,5.0,22.0,3.0,14.0,4.0,39.0,1,2006
226,Kveta Peschke,0.5,38.5,3.0,20.5,10.5,41.0,2,2006
227,Anna Smashnova,0.0,24.0,1.0,7.0,6.0,42.0,1,2006
228,Jill Craybas,1.0,51.0,3.6666666666666665,29.0,9.666666666666666,43.0,3,2006
229,Shuai Peng,1.5,40.5,3.5,20.5,11.5,44.0,2,2006
