,winner_name,w_ace,w_1stIn,w_df,w_1stWon,w_bpFaced,winner_rank,winner_id,year
118,Flavia Pennetta,0.5,31.5,2.5,19.5,6.5,24.0,20,2005
119,Magdalena Maleeva,2.0,28.0,1.0,17.0,4.0,28.0,6,2005
120,Karolina Sprem,2.0,28.0,3.0,12.0,12.0,28.0,4,2005
121,Paola Suarez,,,,,,29.0,3,2005
122,Amy Frazier,2.0,74.0,8.0,45.0,8.0,30.0,3,2005
123,Ana Ivanovic,1.3333333333333333,38.333333333333336,2.6666666666666665,25.833333333333332,6.166666666666667,31.0,9,2005
124,Conchita Martinez,,,,,,32.0,6,2005
125,Gisela Dulko,1.0,40.0,8.0,24.0,15.0,32.0,9,2005
126,Anabel Medina Garrigues,4.0,45.0,0.0,25.0,9.0,33.0,16,2005
127,Meghann Shaughnessy,,,,,,34.0,4,2005
128,Nicole Vaidisova,12.0,36.0,4.0,28.0,4.0,34.0,8,2005
129,Dinara Safina,,,,,,34.0,9,2005
130,Anna Smashnova,,,,,,35.0,21,2005
131,Na Li,,,,,,35.0,7,2005
132,Virginie Razzano,1.0,31.5,3.0,24.0,3.5,36.0,10,2005
133,Anna Lena Groenefeld,4.0,39.0,3.5,27.0,8.0,36.0,11,2005
134,Klara Koukalova,,,,,,39.0,11,2005
135,Jelena Kostanic Tosic,3.0,32.0,2.0,26.0,4.0,40.0,9,2005
136,Shuai Peng,2.0,29.0,2.0,17.0,5.0,43.0,7,2005
137,Dally Randriantefy,,,,,,45.0,10,2005
138,Nuria Llagostera Vives,1.0,33.5,4.0,23.5,9.0,45.0,12,2005
139,Katarina Srebotnik,,,,,,46.0,7,2005
140,Lisa Raymond,,,,,,48.0,2,2005
141,Maria Kirilenko,,,,,,48.0,2,2005
142,Emilie Loit,1.5,31.0,3.0,21.5,7.5,49.0,11,2005
143,Marta Domachowska,5.5,35.5,5.5,27.0,5.0,50.0,10,2005
144,Evgenia Linetskaya,,,,,,50.0,3,2005
145,Iveta Benesova,,,,,,51.0,6,2005
146,Maria Vento Kabchi,3.0,9.0,0.0,8.0,0.0,53.0,3,2005
147,Samantha Stosur,4.0,27.0,2.0,25.0,0.0,53.0,3,2005
148,Denisa Chladkova,,,,,,54.0,2,2005
149,Vera Dushevina,,,,,,54.0,2,2005
150,Anna Chakvetadze,1.0,45.0,2.0,22.0,12.0,56.0,5,2005
151,Jie Zheng,,,,,,56.0,7,2005
152,Alina Jidkova,,,,,,57.0,2,2005
153,Kveta Peschke,1.0,31.0,5.0,26.0,3.0,59.0,6,2005
154,Roberta Vinci,,,,,,60.0,3,2005
155,Virginia Ruano Pascual,1.0,46.0,5.0,19.0,8.0,62.0,2,2005
156,Martina Sucha,,,,,,63.0,4,2005
157,Maria Sanchez Lorenzo,,,,,,65.0,2,2005
158,Tathiana Garbin,,,,,,65.0,7,2005
159,Maria Elena Camerin,,,,,,65.0,1,2005
160,Barbora Strycova,,,,,,66.0,5,2005
161,Mariana Diaz Oliva,1.0,71.0,1.0,38.0,10.0,67.0,13,2005
162,Mashona Washington,,,,,,67.0,2,2005
163,Arantxa Parra Santonja,3.0,49.0,0.0,27.0,13.0,69.0,6,2005
164,Akiko Morigami,3.0,36.0,5.0,25.5,9.5,72.0,6,2005
165,Marissa Irvin,,,,,,75.0,3,2005
166,Marta Marrero,,,,,,76.0,1,2005
167,Claudine Schaul,,,,,,76.0,3,2005
168,Yuliana Fedak,,,,,,79.0,1,2005
169,Kristina Brandi,0.0,77.0,3.0,39.0,15.0,80.0,8,2005
170,Catalina Castano,3.0,28.0,1.0,21.0,0.0,81.0,11,2005
171,Zuzana Ondraskova,,,,,,81.0,5,2005
172,Alona Bondarenko,,,,,,82.0,3,2005
173,Tatiana Perebiynis,,,,,,82.0,1,2005
174,Shahar Peer,1.0,48.0,6.5,30.0,10.5,84.0,6,2005
175,Jill Craybas,,,,,,84.0,3,2005
176,Laura Pous Tio,,,,,,84.0,3,2005
177,Eleni Daniilidou,,,,,,85.0,2,2005
178,Antonella Serra Zanetti,1.0,42.0,5.0,28.0,8.0,86.0,3,2005
179,Sanda Mamic,6.0,52.0,4.0,31.0,11.0,87.0,4,2005
180,Ludmila Cervanova,1.0,52.0,6.0,34.0,6.0,88.0,6,2005
181,Yoon Jeong Cho,,,,,,88.0,1,2005
182,Anne Kremer,,,,,,91.0,4,2005
183,Lubomira Kurhajcova,,,,,,92.0,1,2005
184,Julia Schruff,,,,,,93.0,1,2005
185,Severine Beltrame,,,,,,94.0,1,2005
186,Tatiana Panova,,,,,,98.0,1,2005
187,Sesil Karatantcheva,3.0,66.0,6.0,36.0,12.0,98.0,4,2005
188,Michaela Pastikova,,,,,,100.0,1,2005
189,Stephanie Cohen Aloro,,,,,,100.0,2,2005
190,Amelie Mauresmo,3.0,50.833333333333336,3.0,33.0,10.333333333333334,1.0,7,2006
191,Kim Clijsters,1.3333333333333333,35.0,3.1666666666666665,22.833333333333332,5.666666666666667,2.0,11,2006
192,Justine Henin,2.3846153846153846,30.53846153846154,2.923076923076923,21.846153846153847,4.6923076923076925,3.0,16,2006
193,Maria Sharapova,3.0,47.0,2.0,34.0,6.0,4.0,3,2006
194,Nadia Petrova,3.2142857142857144,39.857142857142854,2.642857142857143,27.785714285714285,5.642857142857143,4.0,15,2006
195,Elena Dementieva,1.0,46.5,8.0,29.25,11.25,6.0,10,2006
196,Patty Schnyder,4.454545454545454,40.09090909090909,3.4545454545454546,27.545454545454547,6.363636363636363,9.0,12,2006
197,Svetlana Kuznetsova,3.1333333333333333,43.733333333333334,1.8666666666666667,29.0,7.533333333333333,10.0,19,2006
198,Anastasia Myskina,3.2,45.2,4.6,29.4,9.6,11.0,8,2006
199,Francesca Schiavone,2.625,32.5,4.625,21.375,7.125,11.0,13,2006
200,Nicole Vaidisova,2.7142857142857144,48.285714285714285,3.2857142857142856,33.714285714285715,5.0,12.0,13,2006
201,Venus Williams,2.875,44.75,4.125,29.75,7.875,12.0,10,2006
202,Anna Lena Groenefeld,3.727272727272727,44.72727272727273,5.0,30.90909090909091,6.454545454545454,14.0,19,2006
203,Martina Hingis,1.1818181818181819,38.36363636363637,2.1818181818181817,25.0,7.2727272727272725,15.0,14,2006
204,Daniela Hantuchova,4.333333333333333,52.333333333333336,2.0,31.666666666666668,8.666666666666666,16.0,8,2006
205,Dinara Safina,2.25,43.4375,3.75,28.1875,7.125,17.0,16,2006
206,Elena Likhovtseva,,,,,,17.0,1,2006
207,Ana Ivanovic,4.0,24.5,2.5,18.0,6.0,17.0,7,2006
208,Flavia Pennetta,2.6666666666666665,48.888888888888886,4.0,30.444444444444443,10.333333333333334,18.0,19,2006
209,Maria Kirilenko,2.0,35.333333333333336,3.3333333333333335,25.333333333333332,5.333333333333333,22.0,4,2006
210,Nathalie Dechy,0.75,54.5,3.0,32.0,7.25,23.0,6,2006
211,Anabel Medina Garrigues,1.25,44.25,0.75,25.5,8.375,24.0,20,2006
212,Ai Sugiyama,1.0,71.0,4.0,46.0,7.0,24.0,1,2006
213,Shahar Peer,2.5,29.5,3.0,20.5,3.5,26.0,19,2006
214,Lucie Safarova,6.714285714285714,48.42857142857143,3.857142857142857,34.57142857142857,7.428571428571429,27.0,10,2006
215,Anna Chakvetadze,1.0,41.5,2.5,25.5,8.5,27.0,7,2006
216,Marion Bartoli,0.6666666666666666,40.0,2.5,28.333333333333332,4.0,27.0,4,2006
217,Katarina Srebotnik,0.42857142857142855,38.0,1.7142857142857142,26.0,5.571428571428571,28.0,8,2006
218,Klara Koukalova,,,,,,28.0,4,2006
219,Gisela Dulko,2.0,38.75,4.75,25.25,8.5,30.0,7,2006
220,Sofia Arvidsson,3.5,48.0,2.5,33.5,8.0,31.0,3,2006
221,Jelena Jankovic,3.0,51.0,4.8,30.4,7.4,32.0,8,2006
222,Tatiana Golovin,,,,,,32.0,1,2006
223,Catalina Castano,2.2857142857142856,41.42857142857143,2.0,26.857142857142858,7.285714285714286,35.0,14,2006
224,Michaella Krajicek,,,,,,36.0,9,2006
225,Jie Zheng,0.125,54.0,1.0,31.5,7.5,36.0,11,2006
226,Mara Santangelo,2.8333333333333335,54.5,3.0,35.0,8.333333333333334,37.0,8,2006
227,Na Li,1.1111111111111112,49.333333333333336,1.2222222222222223,30.77777777777778,6.444444444444445,38.0,12,2006
228,Sania Mirza,,,,,,38.0,1,2006
229,Jill Craybas,0.0,42.8,4.4,26.2,9.2,39.0,5,2006
230,Iveta Benesova,,,,,,39.0,4,2006
231,Vera Zvonareva,2.8,39.6,4.0,27.0,7.8,40.0,5,2006
