,loser_name,l_ace,l_1stIn,l_df,l_1stWon,l_bpFaced,loser_rank,loser_id,year
119,Anne Kremer,,,,,,97.0,3,2004
120,Camille Pin,,,,,,98.0,1,2004
121,Angelique Widjaja,2.0,65.0,2.0,39.0,14.0,100.0,1,2004
122,Roberta Vinci,7.0,37.0,10.0,21.0,12.0,100.0,2,2004
123,Lindsay Davenport,7.0,52.0,7.5,37.25,8.0,1.0,7,2005
124,Maria Sharapova,2.5,54.5,4.25,34.0,9.75,1.0,8,2005
125,Kim Clijsters,3.5,48.0,7.5,33.5,7.0,2.0,5,2005
126,Amelie Mauresmo,3.0,37.0,5.666666666666667,23.666666666666668,8.333333333333334,2.0,10,2005
127,Anastasia Myskina,2.5,47.5,3.0,29.0,13.0,3.0,11,2005
128,Serena Williams,6.0,50.0,6.0,32.0,13.0,4.0,5,2005
129,Svetlana Kuznetsova,2.5,39.5,3.5,20.0,12.0,4.0,9,2005
130,Justine Henin,1.0,43.0,10.0,25.0,11.0,5.0,4,2005
131,Mary Pierce,2.0,44.666666666666664,1.0,26.666666666666668,10.0,5.0,5,2005
132,Elena Dementieva,1.0,45.4,6.2,25.6,10.4,5.0,15,2005
133,Venus Williams,2.0,47.0,5.5,29.5,8.0,7.0,7,2005
134,Patty Schnyder,3.25,46.25,1.75,26.0,8.5,8.0,17,2005
135,Alicia Molik,7.5,51.5,5.0,35.5,7.5,8.0,11,2005
136,Nadia Petrova,4.75,54.0,5.0,33.5,13.25,9.0,17,2005
137,Vera Zvonareva,1.0,22.0,11.0,14.0,7.0,11.0,12,2005
138,Nathalie Dechy,1.5,55.0,5.0,30.0,8.5,13.0,17,2005
139,Elena Bovina,,,,,,15.0,4,2005
140,Francesca Schiavone,0.0,33.0,6.0,24.0,7.0,15.0,15,2005
141,Elena Likhovtseva,0.5,35.0,6.0,21.5,12.0,16.0,13,2005
142,Fabiola Zuluaga,3.0,42.0,2.5,24.0,10.0,16.0,8,2005
143,Ana Ivanovic,2.0,34.0,4.0,18.0,8.0,16.0,9,2005
144,Ai Sugiyama,1.0,38.0,8.0,20.0,10.0,17.0,17,2005
145,Karolina Sprem,1.0,19.5,5.0,8.5,8.0,17.0,15,2005
146,Jelena Jankovic,0.5,51.0,4.5,26.5,9.5,17.0,18,2005
147,Daniela Hantuchova,3.5,57.0,3.5,33.0,13.0,19.0,17,2005
148,Paola Suarez,,,,,,19.0,4,2005
149,Nicole Vaidisova,4.333333333333333,47.333333333333336,4.0,30.666666666666668,5.666666666666667,19.0,8,2005
150,Anna Lena Groenefeld,4.5,34.0,5.0,25.0,4.5,19.0,16,2005
