,winner_name,w_ace,w_1stIn,w_df,w_1stWon,w_bpFaced,winner_rank,matches_won,year,l_ace,l_1stIn,l_df,l_1stWon,l_bpFaced,loser_rank,matches_lost,W/L%
129,Fabiola Zuluaga,2.0,29.5,2.0,23.5,3.0,16.0,7,2005,3.0,42.0,2.5,24.0,10.0,16.0,8.0,0.4666666666666667
130,Ana Ivanovic,3.0,21.0,0.0,19.0,0.0,16.0,21,2005,2.0,34.0,4.0,18.0,8.0,16.0,9.0,0.7
131,Elena Likhovtseva,1.6666666666666667,48.0,4.666666666666667,25.666666666666668,9.666666666666666,16.0,15,2005,0.5,35.0,6.0,21.5,12.0,16.0,13.0,0.5357142857142857
132,Jelena Jankovic,,,,,,17.0,22,2005,0.5,51.0,4.5,26.5,9.5,17.0,18.0,0.55
133,Nicole Vaidisova,8.0,43.285714285714285,3.7142857142857144,29.285714285714285,4.142857142857143,18.0,35,2005,4.333333333333333,47.333333333333336,4.0,30.666666666666668,5.666666666666667,19.0,8.0,0.813953488372093
134,Karolina Sprem,0.5,33.0,5.5,22.5,6.0,18.0,12,2005,1.0,19.5,5.0,8.5,8.0,17.0,15.0,0.4444444444444444
135,Daniela Hantuchova,5.25,33.0,1.25,26.0,3.25,19.0,31,2005,3.5,57.0,3.5,33.0,13.0,19.0,17.0,0.6458333333333334
136,Silvia Farina Elia,0.6666666666666666,39.666666666666664,1.6666666666666667,25.666666666666668,4.666666666666667,19.0,10,2005,0.0,63.0,2.0,33.0,15.0,19.0,12.0,0.45454545454545453
137,Dinara Safina,2.0,60.0,4.0,39.0,11.0,21.0,16,2005,1.0,35.0,5.0,19.0,8.0,21.0,13.0,0.5517241379310345
138,Ai Sugiyama,0.5,46.0,6.0,30.0,7.5,21.0,20,2005,1.0,38.0,8.0,20.0,10.0,17.0,17.0,0.5405405405405406
139,Tatiana Golovin,3.0,45.0,7.5,30.0,8.0,23.0,21,2005,1.5,36.5,8.0,23.0,13.0,22.0,15.0,0.5833333333333334
140,Anna Lena Groenefeld,4.5,37.5,4.0,26.25,6.5,23.0,27,2005,4.5,34.0,5.0,25.0,4.5,19.0,16.0,0.627906976744186
141,Flavia Pennetta,,,,,,24.0,13,2005,3.0,50.0,7.0,28.5,14.5,23.0,12.0,0.52
142,Anna Chakvetadze,2.0,37.5,7.0,22.5,9.0,24.0,15,2005,1.0,40.0,4.0,22.5,10.0,24.0,12.0,0.5555555555555556
143,Magdalena Maleeva,2.5,28.0,1.5,24.5,3.0,25.0,10,2005,0.0,52.0,5.0,25.0,13.0,25.0,12.0,0.45454545454545453
144,Shinobu Asagoe,1.3333333333333333,40.333333333333336,2.0,24.333333333333332,7.0,25.0,15,2005,0.0,33.0,1.0,19.0,9.0,25.0,16.0,0.4838709677419355
145,Maria Kirilenko,,,,,,26.0,22,2005,0.0,29.0,5.0,12.0,11.0,26.0,11.0,0.6666666666666666
146,Amy Frazier,0.0,56.0,8.0,31.0,13.0,26.0,14,2005,1.0,42.666666666666664,6.666666666666667,26.666666666666668,9.666666666666666,23.0,10.0,0.5833333333333334
147,Anabel Medina Garrigues,4.0,45.0,0.0,30.0,9.0,27.0,12,2005,1.5,36.5,2.0,19.5,9.5,27.0,16.0,0.42857142857142855
148,Gisela Dulko,5.0,49.0,5.0,27.0,14.0,28.0,21,2005,1.5,41.5,3.5,22.0,9.0,28.0,17.0,0.5526315789473685
149,Lisa Raymond,1.0,36.0,1.0,24.0,4.0,30.0,11,2005,0.0,42.0,5.0,21.0,11.0,30.0,12.0,0.4782608695652174
150,Marion Bartoli,1.0,35.0,1.3333333333333333,23.0,6.333333333333333,30.0,21,2005,1.0,44.0,3.0,24.0,10.5,30.0,20.0,0.5121951219512195
151,Sania Mirza,2.5,53.5,6.5,36.0,13.0,31.0,18,2005,1.0,30.0,6.0,21.0,13.0,31.0,12.0,0.6
152,Conchita Martinez,,,,,,31.0,20,2005,0.0,23.0,4.0,8.0,8.0,31.0,12.0,0.625
153,Kveta Peschke,,,,,,31.0,12,2005,2.0,38.0,4.0,19.0,13.0,31.0,13.0,0.48
154,Katarina Srebotnik,3.0,27.0,2.0,19.0,2.0,31.0,22,2005,0.5,50.0,1.0,30.0,8.5,31.0,10.0,0.6875
155,Shuai Peng,3.0,35.0,0.0,26.0,6.0,31.0,13,2005,2.0,51.0,3.0,28.0,13.0,31.0,9.0,0.5909090909090909
