,loser_name,l_ace,l_1stIn,l_df,l_1stWon,l_bpFaced,loser_rank,loser_id,year
107,Zuzana Ondraskova,1.0,47.0,4.0,23.0,14.0,83.0,5,2004
108,Sandra Kleinova,0.0,46.0,7.0,28.0,12.5,84.0,7,2004
109,Maria Kirilenko,1.0,55.0,6.0,32.0,14.0,85.0,4,2004
110,Alexandra Stevenson,1.0,30.0,2.0,16.0,4.0,86.0,3,2004
111,Yuliana Fedak,,,,,,87.0,2,2004
112,Anna Chakvetadze,,,,,,88.0,1,2004
113,Severine Beltrame,0.5,34.0,2.0,18.0,10.0,89.0,6,2004
114,Antonella Serra Zanetti,,,,,,90.0,2,2004
115,Shuai Peng,,,,,,92.0,1,2004
116,Gala Leon Garcia,2.0,63.0,4.0,33.0,13.0,92.0,6,2004
117,Stephanie Foretz Gacon,,,,,,93.0,2,2004
118,Silvija Talaja,2.0,28.0,1.0,17.0,7.0,93.0,3,2004
119,Clarisa Fernandez,3.0,52.0,6.0,35.0,19.0,94.0,2,2004
120,Teryn Ashley,,,,,,96.0,1,2004
121,Anne Kremer,,,,,,97.0,3,2004
122,Camille Pin,,,,,,98.0,1,2004
123,Mervana Jugic Salkic,,,,,,99.0,1,2004
124,Tara Snyder,,,,,,99.0,1,2004
125,Catalina Castano,,,,,,100.0,1,2004
126,Angelique Widjaja,2.0,65.0,2.0,39.0,14.0,100.0,1,2004
127,Roberta Vinci,7.0,37.0,10.0,21.0,12.0,100.0,2,2004
128,Lindsay Davenport,6.0,53.0,6.833333333333333,36.166666666666664,8.166666666666666,1.0,11,2005
129,Maria Sharapova,1.8571428571428572,55.285714285714285,3.7142857142857144,33.285714285714285,9.571428571428571,1.0,13,2005
130,Kim Clijsters,2.8,58.8,6.2,37.2,9.2,2.0,9,2005
131,Amelie Mauresmo,3.3333333333333335,46.666666666666664,6.0,29.333333333333332,10.166666666666666,2.0,17,2005
132,Serena Williams,4.5,43.5,4.0,26.5,10.5,2.0,9,2005
133,Anastasia Myskina,1.6666666666666667,40.166666666666664,2.5,21.833333333333332,12.166666666666666,3.0,20,2005
134,Svetlana Kuznetsova,2.3333333333333335,45.166666666666664,4.833333333333333,26.333333333333332,10.5,4.0,17,2005
135,Justine Henin,2.0,45.5,10.5,30.0,9.5,5.0,5,2005
136,Mary Pierce,1.6,42.2,2.6,24.8,9.2,5.0,13,2005
137,Elena Dementieva,0.625,52.875,6.75,28.0,12.25,5.0,23,2005
138,Venus Williams,2.0,47.0,5.5,29.5,8.0,7.0,11,2005
139,Nadia Petrova,4.166666666666667,49.333333333333336,4.166666666666667,31.0,10.5,8.0,25,2005
140,Alicia Molik,7.0,45.75,3.75,30.25,6.75,8.0,14,2005
