,winner_name,w_ace,w_1stIn%,w_df,w_1stWon,w_bpFaced,winner_rank,winner_id,year
1782,Soon Woo Kwon,4.5,0.6517932489451477,2.0,35.0,4.0,81.0,4,2019
1783,Bernard Tomic,9.0,0.6311315496098104,0.0,30.0,5.0,81.0,2,2019
1784,Ryan Harrison,17.0,0.5874125874125874,0.5,32.5,1.0,83.0,2,2019
1785,Stefano Travaglia,8.0,0.5,1.0,38.0,2.0,83.0,1,2019
1786,Federico Delbonis,4.5,0.5735294117647058,4.5,32.0,5.0,83.0,2,2019
1787,Ernests Gulbis,12.0,0.6012788942698243,2.25,32.5,3.75,83.0,4,2019
1788,Hugo Dellien,5.0,0.6141732283464567,3.0,45.0,18.0,83.0,3,2019
1789,Lloyd Harris,14.0,0.6218299577039681,3.75,44.0,6.0,85.0,4,2019
1790,Thomas Fabbiano,10.0,0.6964285714285714,5.0,59.0,10.0,87.0,1,2019
1791,Jiri Vesely,8.0,0.6547067901234568,3.0,43.0,5.5,89.0,2,2019
1792,Prajnesh Gunneswaran,5.5,0.607225814354677,2.0,32.75,5.0,89.0,4,2019
1793,Alexei Popyrin,11.666666666666666,0.5888364738667435,4.666666666666667,33.333333333333336,4.333333333333333,90.0,3,2019
1794,Kamil Majchrzak,11.0,0.5805235745614035,7.5,63.0,10.0,94.0,2,2019
1795,Bradley Klahn,7.5,0.6306818181818181,5.5,43.0,4.0,94.0,2,2019
1796,Jannik Sinner,6.25,0.6434785285137398,2.25,29.25,6.75,95.0,4,2019
1797,Evgeny Donskoy,10.0,0.6037478040210814,1.5,56.0,9.0,96.0,2,2019
1798,Corentin Moutet,1.0,0.717948717948718,4.0,40.0,3.0,97.0,1,2019
1799,Gregoire Barrere,6.0,0.6866789819376027,2.0,39.0,6.0,98.0,2,2019
1800,Egor Gerasimov,15.0,0.7486549707602338,1.3333333333333333,47.333333333333336,1.0,98.0,3,2019
1801,Rafael Nadal,5.944444444444445,0.6315531938162352,2.2222222222222223,35.05555555555556,3.3333333333333335,1.0,18,2020
1802,Novak Djokovic,6.933333333333334,0.6432962383920171,3.3666666666666667,38.3,4.566666666666666,1.0,30,2020
1803,Dominic Thiem,7.7894736842105265,0.6362413533317325,2.8947368421052633,49.473684210526315,6.368421052631579,3.0,19,2020
1804,Roger Federer,10.2,0.6706326270307754,2.0,57.8,7.0,3.0,5,2020
1805,Daniil Medvedev,10.071428571428571,0.6182538546250888,2.5357142857142856,34.607142857142854,3.4285714285714284,4.0,28,2020
1806,Stefanos Tsitsipas,6.388888888888889,0.6281150237382221,1.6111111111111112,33.27777777777778,2.111111111111111,5.0,19,2020
1807,Alexander Zverev,12.2,0.6910943339470924,4.52,46.8,5.44,7.0,25,2020
1808,Andrey Rublev,8.387096774193548,0.598854749191554,1.4838709677419355,32.45161290322581,3.129032258064516,8.0,31,2020
1809,Matteo Berrettini,14.8,0.5944959392003727,2.6,44.2,3.2,8.0,5,2020
1810,Diego Schwartzman,2.4,0.6169622118844578,1.6,31.7,4.7,9.0,10,2020
1811,Gael Monfils,7.25,0.6894921776821552,3.125,37.4375,3.6875,9.0,16,2020
1812,Roberto Bautista Agut,3.4375,0.6796063899240674,1.9375,37.0625,6.125,9.0,16,2020
1813,David Goffin,6.166666666666667,0.5923941860167067,4.833333333333333,41.666666666666664,7.75,10.0,12,2020
1814,Fabio Fognini,9.75,0.6192359612121265,5.5,55.75,6.25,12.0,4,2020
1815,Denis Shapovalov,12.916666666666666,0.6420393035684466,4.416666666666667,44.333333333333336,5.0,12.0,12,2020
1816,Stan Wawrinka,13.0,0.6039033882453759,1.4615384615384615,43.92307692307692,5.769230769230769,15.0,13,2020
1817,Pablo Carreno Busta,5.75,0.6659741566398645,2.0,40.625,5.875,15.0,16,2020
1818,Karen Khachanov,7.1875,0.6544767839246683,1.8125,40.0625,4.1875,16.0,16,2020
1819,Milos Raonic,16.318181818181817,0.6271761227580092,2.9545454545454546,35.45454545454545,2.0454545454545454,17.0,22,2020
1820,Alex De Minaur,3.8461538461538463,0.6260448179054033,2.769230769230769,40.84615384615385,6.615384615384615,18.0,13,2020
1821,Felix Auger Aliassime,10.454545454545455,0.6572002149402507,3.772727272727273,39.5,3.6363636363636362,18.0,22,2020
1822,Grigor Dimitrov,4.583333333333333,0.6192028734938467,4.583333333333333,36.916666666666664,4.916666666666667,19.0,13,2020
1823,Cristian Garin,8.333333333333334,0.6663082437275986,3.0,56.666666666666664,7.0,19.0,3,2020
1824,John Isner,26.22222222222222,0.7302851811160482,3.4444444444444446,55.22222222222222,3.4444444444444446,19.0,9,2020
1825,Benoit Paire,11.444444444444445,0.5510153318373823,7.555555555555555,43.333333333333336,9.11111111111111,20.0,9,2020
1826,Dusan Lajovic,5.571428571428571,0.6955394473934456,1.1428571428571428,44.285714285714285,4.0,24.0,7,2020
1827,Borna Coric,6.666666666666667,0.6678881907938062,1.8333333333333333,42.083333333333336,6.166666666666667,24.0,12,2020
1828,Taylor Fritz,12.333333333333334,0.6012795370263154,2.1666666666666665,36.833333333333336,3.8333333333333335,24.0,12,2020
1829,Guido Pella,6.25,0.6154224150719478,3.0,38.75,6.25,25.0,4,2020
1830,Filip Krajinovic,5.5,0.6465858262335681,1.4285714285714286,37.5,6.928571428571429,26.0,14,2020
1831,Nick Kyrgios,21.833333333333332,0.7048826662473093,2.8333333333333335,58.833333333333336,2.5,26.0,6,2020
1832,Nikoloz Basilashvili,13.333333333333334,0.5669792905785704,6.333333333333333,55.666666666666664,10.333333333333334,26.0,4,2020
1833,Daniel Evans,4.421052631578948,0.6086976050092995,2.0,35.94736842105263,5.684210526315789,28.0,19,2020
1834,Hubert Hurkacz,8.916666666666666,0.6153589509057585,3.0,39.333333333333336,4.333333333333333,29.0,12,2020
1835,Jan Lennard Struff,10.214285714285714,0.5583642145907665,2.2142857142857144,28.642857142857142,3.5714285714285716,29.0,14,2020
1836,Lorenzo Sonego,5.4,0.6058601363012068,1.2,27.8,3.6,32.0,5,2020
1837,Ugo Humbert,7.85,0.6349334877839795,2.2,37.6,4.9,34.0,20,2020
1838,Adrian Mannarino,6.285714285714286,0.6050336033068601,2.357142857142857,33.714285714285715,5.5,35.0,14,2020
1839,Casper Ruud,6.0,0.7100189067110484,1.8,46.6,4.4,36.0,5,2020
1840,Reilly Opelka,18.0,0.6607437010274403,2.0833333333333335,41.166666666666664,2.75,36.0,12,2020
1841,Marin Cilic,14.0,0.6155794953696136,3.5833333333333335,50.416666666666664,6.666666666666667,37.0,13,2020
1842,John Millman,4.470588235294118,0.6119829908019535,2.0588235294117645,39.23529411764706,7.0,38.0,17,2020
1843,Miomir Kecmanovic,5.666666666666667,0.5956860773954639,2.0833333333333335,32.75,4.666666666666667,39.0,12,2020
1844,Laslo Djere,5.0,0.6257968262579683,2.0,38.5,6.0,39.0,2,2020
1845,Albert Ramos,2.5,0.6323612205832676,3.0,43.5,9.0,42.0,2,2020
1846,Jannik Sinner,4.166666666666667,0.6082495479946541,2.25,33.833333333333336,6.166666666666667,43.0,13,2020
1847,Kyle Edmund,5.5,0.6277876464571478,2.1,35.5,4.2,44.0,10,2020
1848,Pablo Cuevas,14.0,0.6976600985221675,3.0,64.0,2.0,44.0,2,2020
1849,Sam Querrey,24.0,0.649749373433584,2.6666666666666665,53.0,2.6666666666666665,45.0,3,2020
1850,Aljaz Bedene,12.75,0.5911650316341914,4.125,42.25,4.625,47.0,8,2020
1851,Alexander Bublik,12.090909090909092,0.5908660029179085,5.818181818181818,38.54545454545455,5.181818181818182,47.0,11,2020
1852,Fernando Verdasco,9.166666666666666,0.6988580769370847,2.1666666666666665,43.666666666666664,5.0,49.0,6,2020
1853,Richard Gasquet,6.6,0.5949007675052951,2.2,32.6,4.8,49.0,10,2020
1854,Yoshihito Nishioka,2.5833333333333335,0.6652871721351272,1.3333333333333333,35.416666666666664,6.166666666666667,51.0,12,2020
1855,Cameron Norrie,7.555555555555555,0.6662662560998515,4.222222222222222,43.111111111111114,8.0,52.0,9,2020
1856,Gilles Simon,5.090909090909091,0.5509216049191493,1.4545454545454546,29.181818181818183,4.0,52.0,11,2020
1857,Jeremy Chardy,10.0,0.6279918864097362,4.0,35.0,5.5,54.0,2,2020
1858,Tommy Paul,5.833333333333333,0.5955775226396641,2.0833333333333335,33.833333333333336,5.166666666666667,55.0,12,2020
1859,Tennys Sandgren,13.5,0.6451061075618657,2.8333333333333335,55.5,7.333333333333333,55.0,6,2020
1860,Pablo Andujar,0.0,0.6166666666666667,1.0,28.0,6.0,55.0,1,2020
1861,Feliciano Lopez,15.2,0.571923148011083,3.8,35.4,3.6,55.0,5,2020
1862,Jordan Thompson,5.5,0.6655747231120202,1.2,41.8,5.5,60.0,10,2020
1863,Juan Ignacio Londero,4.0,0.6144578313253012,1.0,33.0,3.0,62.0,1,2020
1864,Alejandro Davidovich Fokina,2.0,0.6698906873361016,2.5454545454545454,42.0,9.090909090909092,63.0,11,2020
1865,Frances Tiafoe,6.111111111111111,0.621024666006043,2.5555555555555554,42.888888888888886,6.666666666666667,63.0,9,2020
1866,Steve Johnson,11.0,0.608664345563659,2.5,50.666666666666664,4.666666666666667,64.0,6,2020
1867,Pierre Hugues Herbert,8.333333333333334,0.5703034577913018,3.0,35.111111111111114,4.333333333333333,64.0,9,2020
1868,Joao Sousa,8.0,0.7115384615384616,2.0,28.0,1.0,65.0,1,2020
1869,Ricardas Berankis,5.666666666666667,0.5982557444975746,3.0,44.166666666666664,6.0,65.0,6,2020
1870,Jiri Vesely,9.0,0.6527777777777778,2.0,34.0,5.0,66.0,1,2020
1871,Marton Fucsovics,5.111111111111111,0.6025675736558309,2.3333333333333335,40.333333333333336,6.888888888888889,66.0,9,2020
1872,Mikhail Kukushkin,4.0,0.6110560202955366,2.6,44.2,7.4,66.0,5,2020
1873,Mikael Ymer,5.166666666666667,0.6697195847354127,3.0,42.0,6.5,67.0,6,2020
1874,Egor Gerasimov,11.615384615384615,0.6660450704188497,2.8461538461538463,44.23076923076923,4.3076923076923075,68.0,13,2020
1875,Soon Woo Kwon,4.875,0.6070199280644704,2.625,39.5,5.5,73.0,8,2020
1876,Vasek Pospisil,13.0,0.5945291370730243,3.5,43.9,5.2,74.0,10,2020
1877,Corentin Moutet,2.4285714285714284,0.7234507402767079,3.0,50.857142857142854,7.0,75.0,7,2020
1878,Marco Cecchinato,10.0,0.7037037037037037,4.0,66.0,6.0,76.0,1,2020
1879,Federico Delbonis,11.0,0.6601941747572816,4.0,52.0,3.0,76.0,1,2020
