,winner_name,w_ace,w_1stIn%,w_df,w_1stWon,w_bpFaced,winner_rank,winner_id,year
40,Mario Ancic,10.363636363636363,0.6170593644317542,3.5,41.36363636363637,4.863636363636363,25.0,23,2004
41,Robby Ginepri,7.105263157894737,0.603851883108794,2.1052631578947367,35.526315789473685,4.894736842105263,25.0,22,2004
42,Wayne Ferreira,8.363636363636363,0.6010105021015083,1.8181818181818181,38.18181818181818,4.545454545454546,25.0,12,2004
43,Jonas Bjorkman,5.684210526315789,0.5753829986870419,2.736842105263158,35.89473684210526,6.421052631578948,26.0,21,2004
44,Mariano Zabaleta,4.423076923076923,0.6162692347663706,2.6153846153846154,32.15384615384615,4.1923076923076925,28.0,26,2004
45,Nikolay Davydenko,3.4375,0.6702004026937826,2.59375,35.03125,6.03125,29.0,33,2004
46,Jarkko Nieminen,3.2941176470588234,0.6673677399862689,2.4705882352941178,36.94117647058823,6.588235294117647,30.0,20,2004
47,Fabrice Santoro,5.352941176470588,0.551220639946103,1.8235294117647058,36.35294117647059,5.823529411764706,32.0,18,2004
48,Florian Mayer,6.733333333333333,0.6334614119145098,2.533333333333333,41.46666666666667,4.733333333333333,34.0,15,2004
49,Robin Soderling,7.903225806451613,0.6265732110769457,2.032258064516129,35.32258064516129,4.32258064516129,34.0,31,2004
50,Rafael Nadal,1.7037037037037037,0.695489845549197,1.9259259259259258,31.37037037037037,4.185185185185185,34.0,30,2004
51,Hicham Arazi,5.466666666666667,0.6259620546362219,1.3333333333333333,41.86666666666667,7.133333333333334,35.0,15,2004
